,FEAT NUMBER,SUMMARY,Priority,STATUS,3.0 Commitment Status,Target Month,Comment,DRI ,Dev Resources required for max parallization,Dev Resources required for max parallization and 60% productivity ,Total Months Needed for 1 person by Dev (Everything from start to finish),Number of Months (Dev),"Num of QA required(rule: 3:1, 1 QA for 3 dev)","Num of QA required(rule: 3:1, 1 QA for 3 dev) with 60% productivity ",Total resources required,sizing (refer sheet 2 for guidance),Additional Resources,Sizing Comment,Dependency Numbers (Comma Separated List),DEPENDENCY,One line dependency description ,Resourcing done?,Any new software needed? 
67,,IAMv2 - Code refactoring (Example pattern and actual changes),P0,Not Started,Committed,,,,,0,,,0,0,0,XL (8-13 months),,,,Code owners,,,
93,,IAMv2 - Remove /i calls from UI,P1,Not Started,Dropped,,,,,0,,#DIV/0!,0,0,0,,,,,,,,
,[MSSQL] C# based OS and DB services Framework ,Framework (repo + build + skeleton),P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
,,LCM,P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
,,OS service RPC contracts,P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
,,DB service RPC contracts,P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
,,RPC integration with NDBAgent,P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
68,ERA-TBD [Alerts Manager/ policy seeding support on SMSP] ,"Alert Library that sends alert to current framework now, can send to PC Alert Manager once its available on SMSP",P0,Not Started,Approved,,,Krunal,0,0,0,0,0,0,0,,,,,,,,
,,"Alerts Manager support on NDB-SMSP:
Alerts policy seeding framework that exists today must be provided for the SMSP stack. These Alerts have capbilities to export to PC Alert Manager or run PC Alert Manager on SMSP itself.
",P1,Not Started,Deferral Candidate,,,,,0,,,0,0,0,,,,,,,,
,,EVerything DevProd,,,,,,,,,,#DIV/0!,,0,0,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,
,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,
104,,,,,,,,,123,205,658,5.349593496,,,205,,,,,,,,
,,Error Code Framework,P0,Not Started,Committed,,,,,1,4,2,0,0,1,XL (8-13 months),,,,,,,
